"idReg";"Regio"
1;"Andalucía"
2;"Aragón"
3;"Principado de Asturias"
4;"Islas Baleares
(Illes Balears)"
5;"Canarias
(Islas)"
6;"Cantabria"
7;"Castilla y León"
8;"Castilla La Mancha"
9;"Cataluña
(Catalunya)"
10;"Extremadura"
11;"Galicia"
12;"La Rioja"
13;"Comunidad de Madrid"
14;"Región de Murcia"
15;"Comunidad Foral deNavarra"
16;"País Vasco
(Euskadi)"
17;"Comunidad Valenciana"
